County	Full Name
47	Huntington
47	Islip
47	Riverhead
47	Shelter Island
47	Smithtown
47	Southampton
47	Southold
48	Bethel
48	Callicoon
48	Cochecton
48	Delaware
48	Fallsburg
48	Forestburgh
48	Fremont
48	Highland
48	Liberty
48	Lumberland
48	Mamakating
48	Neversink
48	Rockland
48	Thompson
48	Tusten
49	Barton
49	Berkshire
49	Candor
49	Newark Valley
49	Nichols
49	Owego
49	Richford
49	Spencer
49	Tioga
50	Caroline
50	Danby
50	Dryden
50	Enfield
50	Groton
50	Ithaca city
50	Ithaca
50	Lansing
50	Newfield
50	Ulysses
51	Denning
51	Esopus
51	Gardiner
51	Hardenburgh
51	Hurley
51	Kingston city
51	Kingston
51	Lloyd
51	Marbletown
51	Marlborough
51	New Paltz
51	Olive
51	Plattekill
51	Rochester
51	Rosendale
51	Saugerties
51	Shandaken
51	Shawangunk
51	Ulster
51	Wawarsing
51	Woodstock
52	Bolton
52	Chester
52	Glens Falls city
52	Hague
52	Horicon
52	Johnsburg
52	Lake George
52	Lake Luzerne
52	Queensbury
52	Stony Creek
52	Thurman
52	Warrensburg
53	Argyle
53	Cambridge
53	Dresden
53	Easton
53	Fort Ann
53	Fort Edward
53	Granville
53	Greenwich
53	Hampton
53	Hartford
53	Hebron
53	Jackson
53	Kingsbury
53	Putnam
53	Salem
53	White Creek
53	Whitehall
54	Arcadia
54	Butler
54	Galen
54	Huron
54	Lyons
54	Macedon
54	Marion
54	Ontario
54	Palmyra
54	Rose
54	Savannah
54	Sodus
54	Walworth
54	Williamson
54	Wolcott
55	Bedford
55	Cortlandt
55	Eastchester
55	Greenburgh
55	Harrison
55	Lewisboro
55	Mamaroneck
55	Mount Kisco
55	Mount Pleasant
55	Mount Vernon city
55	North Castle
55	North Salem
55	New Castle
55	New Rochelle city
55	Ossining
55	Peekskill city
55	Pelham
55	Pound Ridge
55	Rye
55	Rye city
55	Scarsdale
55	Somers
55	White Plains city
55	Yonkers city
55	Yorktown
56	Arcade
56	Attica
56	Bennington
56	Castile
56	Covington
56	Eagle
56	Gainesville
56	Genesee Falls
56	Java
56	Middlebury
56	Orangeville
56	Perry
56	Pike
56	Sheldon
56	Warsaw
56	Wethersfield
57	Barrington
57	Benton
57	Italy
57	Jerusalem
57	Middlesex
57	Milo
57	Potter
57	Starkey
57	Torrey
